tag,count,median_rating,p75_rating
implementation,121,800,1000
greedy,72,800.0,1100
math,64,800.0,1000
brute force,49,800,1000
strings,35,800,1000
sortings,30,850.0,1100
constructive algorithms,27,900,1000
number theory,11,900,1000
bitmasks,7,1100,1100
dp,6,950.0,1100
data structures,6,950.0,1100
binary search,6,1000.0,1100
games,4,850.0,1100
two pointers,4,850.0,1300
*special,3,800,1100
geometry,3,900,1300
dfs and similar,2,1150.0,1300
combinatorics,2,1200.0,1300
hashing,2,1050.0,1300
ternary search,1,800,800
expression parsing,1,800,800
graph matchings,1,800,800
shortest paths,1,800,800
